Country name,Year,Population,Population of children under the age of 1,Population of children under the age of 5,Population of children under the age of 15,Population under the age of 25,Population aged 15 to 64 years,Population older than 15 years,Population older than 18 years,Population at age 1,Population aged 1 to 4 years,Population aged 5 to 9 years,Population aged 10 to 14 years,Population aged 15 to 19 years,Population aged 20 to 29 years,Population aged 30 to 39 years,Population aged 40 to 49 years,Population aged 50 to 59 years,Population aged 60 to 69 years,Population aged 70 to 79 years,Population aged 80 to 89 years,Population aged 90 to 99 years,Population older than 100 years
Africa (UN),1975,417556640,17404738,75537440,186502770,264486500,217871230,231053260,204611650,15787379,58132700,60138756,50826570,42544190,65011040,45748970,33729124,22910616,13778029,5999138,1259941,72211,603
Africa (UN),1976,429572930,17905042,77828990,192131410,272576800,223856510,237440910,210173400,16279731,59923950,61996230,52306184,43872692,66931930,46892630,34451788,23550010,14176617,6187870,1302593,74781,619
Africa (UN),1977,441701400,18386460,80096744,197725420,280743970,229989920,243975340,215856560,16759283,61710284,63833370,53795320,45262610,68944330,48086068,35142484,24171508,14559420,6380642,1350389,77901,632
Africa (UN),1978,454462700,18905576,82480530,203487840,289234240,236583460,250974140,221962800,17248048,63574950,65700452,55306856,46716428,71214310,49377484,35849800,24810274,14946269,6574669,1402687,82220,711
Africa (UN),1979,467975870,19456118,85023670,209604030,298158370,243549090,258370990,228449890,17774944,65567550,67689150,56891212,48199508,73708170,50744090,36570268,25464132,15362351,6776258,1458775,87451,850
Africa (UN),1980,481542800,19983808,87489600,215749520,307146100,250564200,265792290,234967760,18289830,67505790,69713980,58545936,49697550,76277050,52232590,37239548,26041108,15737333,6965551,1509899,91658,968
Africa (UN),1981,495655330,20500578,90039560,222192860,316516600,257827920,273461440,241694400,18820780,69538980,71833340,60319956,51262860,78834150,53870012,37938924,26626460,16120850,7153907,1558995,95266,1053
Africa (UN),1982,510540220,21050260,92773560,229010940,326371200,265451940,281528160,248765260,19366156,71723300,74070050,62167332,52894320,81409130,55601828,38714880,27277488,16558777,7357823,1614181,99719,1138
Africa (UN),1983,525335040,21581688,95401980,235731540,336145250,273090100,289602270,255821280,19870424,73820290,76341050,63988504,54543028,83936744,57366604,39524570,27913076,16984696,7558468,1670481,104605,1227
Africa (UN),1984,540182800,22072876,97915020,242432980,345945100,280794100,297748500,262918200,20364878,75842140,78700344,65817620,56236724,86431100,59145536,40392584,28524530,17422252,7759529,1726721,109528,1298
Africa (UN),1985,555652600,22575868,100464840,249361380,356153000,288851780,306289900,270344160,20873498,77888970,81164850,67731700,58047584,89002184,60973840,41369376,29116372,17906074,7972677,1786739,115033,1377
Africa (UN),1986,571646400,23086980,103013550,256474060,366560930,297226430,315170900,278154880,21387208,79926570,83783720,69676790,59804280,91745224,62841624,42484590,29725156,18405478,8193639,1849974,120946,1456
Africa (UN),1987,588079700,23581914,105542340,263761420,377077300,305833500,324316580,286314560,21909344,81960424,86512160,71706920,61441220,94683890,64728024,43706320,30364668,18910528,8425936,1924373,131619,1704
Africa (UN),1988,604511200,23989244,107866870,270934300,387535550,314550300,333574980,294586700,22367414,83877630,89128376,73939060,63088104,97739730,66639372,44909144,30985178,19412070,8657801,2001526,142043,1941
Africa (UN),1989,621167600,24367404,110067070,278055420,397975200,323545630,343110200,303127260,22773282,85699660,91625460,76362900,64743940,100897970,68706320,46130744,31602252,19914824,8896540,2070681,146951,1986
Africa (UN),1990,638157250,24750820,112244910,285207360,408436060,332818460,352947840,311917100,23185904,87494100,94050984,78911470,66434988,104050620,70891544,47475692,32226764,20426430,9150925,2139478,151396,2030
Africa (UN),1991,655040500,25128872,114228990,292187680,418716350,342142270,362850720,320686300,23537238,89100110,96442450,81516240,68172750,107146970,73085490,48898736,32832222,20932296,9412682,2212269,157307,2093
Africa (UN),1992,671931500,25542832,116126690,299076030,428985100,351561120,372853380,329420260,23893292,90583860,98804184,84145144,70050780,110142670,75294410,50360684,33437924,21443818,9676526,2283380,163197,2141
Africa (UN),1993,689140000,25963164,118088900,305997500,439531520,361266200,383140260,338263360,24327440,92125736,101111470,86797140,72210670,113052000,77533040,51878932,34069292,21934436,9943015,2350783,168087,2186
Africa (UN),1994,706488260,26340292,119987530,312465060,449963800,371579740,394020800,347580160,24745470,93647240,103202860,89274650,74608560,116143330,79915940,53444190,34747460,22351812,10213028,2421259,175234,2434
Africa (UN),1995,724331650,26787130,122018480,318830600,460597020,382483500,405498400,357401380,25126586,95231350,105156290,91655810,77187850,119380040,82409304,55032090,35552510,22765780,10496933,2492567,181342,2680
Africa (UN),1996,742764740,27298976,124291180,325590720,471773820,393505470,417171330,367379260,25591200,96992210,107168800,94130744,79901340,122494710,84823620,56594630,36509416,23268576,10824496,2568899,185652,2678
Africa (UN),1997,761224450,27704506,126475290,332155700,482865950,404695170,429066050,377670940,26097332,98770780,109140180,96540260,82600024,125682350,87258940,58151630,37545124,23793400,11183614,2657463,193482,2686
Africa (UN),1998,779908030,28092308,128591200,338435620,493831260,416433470,441469630,388602100,26499412,100498900,111036170,98808240,85181710,129192000,89898020,59849404,38602172,24265794,11524870,2752009,203660,2796
Africa (UN),1999,799099300,28629486,130901304,344772160,504986370,428652960,454324200,400052670,26900348,102271816,112905580,100965280,87641730,133008800,92652230,61712364,39678320,24713916,11850578,2851588,214662,2986
Africa (UN),2000,818952060,29264746,133471610,351412480,516521950,441208350,467536300,411862620,27469138,104206860,114931400,103009480,90023230,137065800,95414340,63640440,40837640,25176544,12189563,2960826,227913,3276
Africa (UN),2001,839463900,29917160,136242750,358335500,528393540,454121380,481124770,424039780,28130228,106325580,117149170,104943570,92377990,141340880,98171940,65606990,42104692,25668104,12537723,3074590,241860,3627
Africa (UN),2002,860611460,30585526,139296560,365525100,540533000,467387500,495082340,436598460,28808440,108711030,119392610,106835930,94718340,145826030,100920180,67640640,43450370,26195872,12885246,3190437,255223,4051
Africa (UN),2003,882349250,31239192,142607470,372996700,552856600,480961660,509348060,449531900,29500856,111368290,121651500,108737710,96994690,150532080,103661576,69738670,44860176,26763772,13222231,3306821,268055,4508
Africa (UN),2004,904781300,31933734,146086290,380856420,565400640,494842850,523919970,462874660,30190262,114152560,124104824,110665310,99176170,155417920,106454920,71903090,46318412,27394464,13547721,3426283,280991,4934
Africa (UN),2005,927898100,32704952,149718850,389210300,578183040,508897200,538682500,476523800,30924112,117013900,126772184,112719260,101206980,160352480,109355670,74135480,47797636,28121216,13865369,3553239,294420,5304
Africa (UN),2006,951740300,33511882,153517380,398071300,591280400,523144600,553663360,490442050,31730376,120005500,129628990,114924910,103108380,165280800,112401740,76459064,49291628,28943736,14185532,3684624,307849,5614
Africa (UN),2007,976461440,34319510,157471980,407406880,604806850,537763500,569048700,504722000,32572966,123152470,132780590,117154296,104988090,170183920,115663470,78890210,50824016,29844216,14515693,3817912,321192,5865
Africa (UN),2008,1001981300,35167750,161612560,417214560,618732540,552675460,584760700,519257570,33412230,126444810,136207660,119394340,106874360,174951040,119178610,81395620,52448932,30778464,14849549,3951053,333054,6043
Africa (UN),2009,1028200260,35970776,165836220,427429020,632967740,567821760,600765060,534058880,34286836,129865440,139793020,121799780,108762510,179531200,122956690,83959960,54207332,31729680,15186620,4086409,344651,6226
Africa (UN),2010,1055233400,36739270,170048780,438033250,647595600,583299800,617193500,549224450,35117870,133309510,143545090,124439384,110780470,183902530,127009096,86576360,56039196,32763440,15535972,4228220,358200,6656
Africa (UN),2011,1082675800,37498870,174184820,448957120,662458800,598774500,633711360,564402240,35907740,136685950,147477570,127294740,112912700,187957740,131204744,89195510,57890660,33895948,15905610,4375232,373174,7345
Africa (UN),2012,1110797200,38183570,178214400,460267460,677693300,614468740,650521700,579828500,36701016,140030830,151582420,130470630,115075750,191913040,135563700,91849630,59808660,35098416,16304545,4521036,386963,8042
Africa (UN),2013,1140180600,38824220,182086820,471967600,693576260,631003200,668204300,596092100,37428716,143262600,155896880,133983940,117366750,196025400,140228350,94593860,61820250,36366216,16741027,4661992,400422,8679
Africa (UN),2014,1170299000,39456324,185769460,483736350,709808960,648187460,686553400,612921600,38092504,146313120,160286300,137680600,119883170,200133090,145072050,97425330,63912930,37680692,17229608,4800355,416176,9278
Africa (UN),2015,1201108000,40085576,189293000,495490940,726413440,665997900,705607200,630187140,38746430,149207420,164655650,141542290,122642700,204278270,150031490,100395150,66087336,39015176,17785904,4936880,434246,9835
Africa (UN),2016,1232111600,40600428,192555140,507118240,743156700,684020700,724982850,647519100,39399004,151954700,168979620,145583500,125581370,208331620,154955760,103488536,68327384,40354708,18409168,5078636,455671,10498
Africa (UN),2017,1263333800,41102304,195605150,518523100,759940030,702390400,744799360,665180600,39932144,154502850,173164580,149753380,128790120,212302030,159777800,106759490,70645490,41723896,19089312,5231323,479911,11278
Africa (UN),2018,1295265000,41705100,198599410,529770340,776965900,721535740,765482700,683666370,40450124,156894300,177108220,154062690,132299900,216436430,164513140,110301350,73054320,43190732,19791832,5390368,504595,12040
Africa (UN),2019,1327701100,42313264,201562530,540843400,794207100,741291140,786845200,702767700,41070424,159249280,180855970,158424850,135980420,220823950,169064340,114105656,75526640,44771480,20495524,5549767,527419,12594
Africa (UN),2020,1360677200,42887228,204488060,551727360,811759900,761876350,808937000,722454400,41703130,161600830,184460220,162779040,139859620,225711820,173488220,118165256,78001390,46314650,21179608,5672989,543444,12861
Africa (UN),2021,1393676400,43436140,207449340,562331460,829423400,782981900,831332300,742302900,42295900,164013200,187800450,167081660,143907260,230999710,177772130,122385976,80424990,47745744,21808220,5739974,548246,12740
Albania,1950,1252587,45419,187738,488984,718913,687890,763586,688160,39974,142319,157054,144192,122432,192074,145814,109928,81435,64856,34071,11866,1110,17
Albania,1951,1289175,47566,195613,502428,741160,707899,786729,707689,41998,148047,159566,147249,127510,200279,147743,113584,83461,65033,35196,12697,1226,18
Albania,1952,1326957,49464,204325,516469,763842,728671,810469,727840,44022,154861,162712,149432,133041,208552,149814,117639,85363,64938,36328,13416,1378,19
